1,2,3,4,5,6,7,8,9,10
南無地藏王菩薩(慈傑法師),南無觀世音菩薩(慈傑法師),孔雀明王咒(慈傑法師),佛母明王尊聖號(慈傑法師),南無阿彌陀佛(慈傑法師),南無本師釋迦牟尼佛(慈傑法師),消災延壽藥師佛(慈傑法師),阿彌陀佛(天禪法師),南無當來下生彌勒佛(妙峰法師),孔雀明王咒-快(慈傑法師)
nwdzwps_m,nwgsyps_m,kqmwz_m,fmmwzsh_m,nwamtf_m,nwbssjmnf_m,xzysysf_m,amtf_m,nwdlxsmlf_m,kqmwz_k
nwdzwps,nwgsyps,kqmw,kqmw,nwamtf,nwbssjmnf,xzysysf,nwamtf,nwdlxsmlf,kqmw
jlsj,jlsj,jlsj,jlsj,jlsj,ljs,llsj,jlsj,dstg,jlsj
4,4,7,18,8,5,10,2,5,7
10.5,11.2,6.08,11.31,9.64,9.43,8.2,4.31,12.02,7.42
hb,hb,ym,ym,hb,hb,hb,hb,hb,ym
dzz,gyj,kqj,kqj,zfj,sjj,ysz,zfj,mtz,kqj
dz_24.29,gy_30.87,kq_30.01,kq_30.01,am_21.74,sj_28.52,ys_28.05,am_21.74,ml_32.40,kq_30.01
0.23,0.21,0.16,0.269,0.19,0.21,0.29,0.22,0.24,0.16
1.57,1.64,0.97,0.84,0.79,2.13,1.09,0.76,1.48,0.69
2.87,3.07,1.78,1.44,1.39,3.98,1.96,1.28,2.67,1.19
4.22,4.48,2.57,2.09,1.98,5.86,2.74,1.8,3.93,1.68
5.54,5.9,3.67,2.64,2.58,7.81,3.54,2.33,5.09,2.24
6.83,7.28,4.55,3.31,3.19,,4.39,2.86,6.27,2.8
8.15,8.7,5.38,3.96,3.81,,5.19,3.38,7.44,3.34
9.49,10.12,,4.6,4.39,,6,3.9,8.63,3.88
,,,5.17,5.01,,6.79,,9.85,4.38
,,,5.8,5.6,,7.64,,10.98,4.94
,,,6.48,6.17,,,,,5.47
,,,7.13,6.78,,,,,6
,,,7.73,7.38,,,,,6.54
,,,8.38,7.99,,,,,7.06
,,,9.04,8.59,,,,,
,,,9.66,9.21,,,,,
,,,10.29,,,,,,
,,,10.94,,,,,,
